name|institution|course_id|language
Introduction to Probability and Data with R|Duke University|probability-intro|English
Understanding and Visualizing Data with Python|University of Michigan|understanding-visualization-data|English
Fundamentals of Visualization with Tableau|University of California, Davis|data-visualization-tableau|English
Getting Started with SAS Programming|SAS|sas-programming-basics|English
Machine Learning for All|University of London|uol-machine-learning-for-all|English
Using Databases with Python|University of Michigan|python-databases|English
Addiction Treatment: Clinical Skills for Healthcare Providers|Yale University|addiction-treatment|English
Dino 101: Dinosaur Paleobiology|University of Alberta|dino101|English
Sports Marketing|Northwestern University|sports-marketing|English
Positive Psychology|The University of North Carolina at Chapel Hill|positive-psychology|English
Introduction to Programming with MATLAB|Vanderbilt University|matlab|English
Preparing to Manage Human Resources|University of Minnesota|managing-human-resources|English
Solar Energy Basics|The State University of New York|solar-energy-basics|English
Front-End Web UI Frameworks and Tools: Bootstrap 4|The Hong Kong University of Science and Technology|bootstrap-4|English
Building Scalable Java Microservices with Spring Boot and Spring Cloud|Google Cloud|google-cloud-java-spring|English
Introduction to Forensic Science|Nanyang Technological University, Singapore|forensic-science|English
Google Cloud Product Fundamentals|Google Cloud|google-cloud-product-fundamentals|English
American Contract Law I|Yale University|contracts-1|English
Engineering Health: Introduction to Yoga and Physiology|New York University|engineering-health-yoga-physiology|English
AI for Medical Diagnosis|DeepLearning.AI|ai-for-medical-diagnosis|Italian
Natural Language Processing with Sequence Models|DeepLearning.AI|sequence-models-in-nlp|English
Introduction to Electronics|Georgia Institute of Technology|electronics|English
International Humanitarian Law in Theory and Practice|Universiteit Leiden|international-humanitarian-law|English
Making Architecture|IE School of Architecture & Design|making-architecture|English
Model Thinking|University of Michigan|model-thinking|English
Supporting children with difficulties in reading and writing|University of London|dyslexia-difficulties|English
Innovation Management|Erasmus University Rotterdam|innovation-management|English
The Manager's Toolkit: A Practical Guide to Managing People at Work|Birkbeck, University of London|people-management|English
The Modern World, Part One: Global History from 1760 to 1910|University of Virginia|modern-world|English
Fundamentals of Music Theory|The University of Edinburgh|edinburgh-music-theory|English
Supply Chain Principles|Georgia Institute of Technology|supply-chain-principles|English
Essential Google Cloud Infrastructure: Core Services|Google Cloud|gcp-infrastructure-core-services|English
Weight Management: Beyond Balancing Calories|Emory University|weight-management-beyond-balancing-calories|English
Miracles of Human Language: An Introduction to Linguistics|Universiteit Leiden|human-language|English
Java Programming: Solving Problems with Software|Duke University|java-programming|English
Race and Cultural Diversity in American Life and History|University of Illinois at Urbana-Champaign|race-cultural-diversity-american-life|English
Inspiring and Motivating Individuals|University of Michigan|motivate-people-teams|English
Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)|Universitat Autònoma de Barcelona|competencias-digitales-ofimatica|English
Healing with the Arts|University of Florida|healing-with-the-arts|English
People Analytics|University of Pennsylvania|wharton-people-analytics|English
What is Social?|Northwestern University|what-is-social|English
UX Design Fundamentals|California Institute of the Arts|ux-design-fundamentals|Deutsch
Creative Thinking: Techniques and Tools for Success|Imperial College London|creative-thinking-techniques-and-tools-for-success|English
Introduction to Classical Music|Yale University|introclassicalmusic|English
Children's Human Rights - An Interdisciplinary Introduction|University of Geneva|childrens-rights|English
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers|HEC Paris|investment-management|English
Introduction to Data Analysis Using Excel|Rice University|excel-data-analysis|English
Mind Control: Managing Your Mental Health During COVID-19|University of Toronto|manage-health-covid-19|English
Introduction to International Criminal Law|Case Western Reserve University|international-criminal-law|English
FinTech: Foundations, Payments, and Regulations|University of Pennsylvania|wharton-fintech-overview-payments-regulations|English
Greek and Roman Mythology|University of Pennsylvania|mythology|English
Politics and Economics of International Energy|Sciences Po|global-energy|English
Continuous Delivery & DevOps|University of Virginia|uva-darden-continous-delivery-devops|English
Teach English Now! Foundational Principles|Arizona State University|english-principles|English
Business Model Innovation|HEC Paris|business-model|Italian
Introduction to User Experience Principles and Processes|University of Michigan|introtoux-principles-and-processes|English
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development|University of Michigan|beyond-the-sustainable-development-goals-addressing-sustainability-and-development|English
Process Mining: Data science in Action|Eindhoven University of Technology|process-mining|English
Fundamentals of Immunology: Innate Immunity and B-Cell Function|Rice University|immunologyfundamentalsimmunitybcells|English
Introduction to Corporate Finance|University of Pennsylvania|wharton-finance|English
Global Diplomacy: the United Nations in the World|University of London|global-diplomacy-un|English
Algorithmic Toolbox|University of California San Diego|algorithmic-toolbox|English
Troubles du spectre de l'autisme : diagnostic|University of Geneva|troubles-spectre-autisme-diagnostic|French
Anatomy: Musculoskeletal and Integumentary Systems|University of Michigan|anatomy403-1x|English
